,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation 
79,80,454020.63459996134,inf,False,26,ninyi,you,True,0.47734375,-0.8789604235612494,0.30898437499999987,-0.6967726850393394
80,81,458406.65500005713,1739.9602001532912,False,20,neno,word,True,0.5050781250000002,-0.8408831641439741,0.375390625,14.708691850763241
81,82,461887.56539998576,5373.966299928725,False,2,I,mimi,False,0.35859375000000004,-0.8974085573756433,0.300390625,-1.1075027042720829
82,83,469086.1768000759,1740.9199001267555,True,14,one,moja,False,0.5562500000000001,-0.7690153988182579,0.4882812499999999,-0.6634092457637731
83,84,472702.7516001836,5598.828699905424,False,43,time,wakati,False,0.49609375,-0.8748651113571148,0.49609375,18.29470855174104
84,85,482404.6545000747,1762.0478002354505,False,52,kuweka,set,True,0.4605468749999999,-0.9334435828145372,0.300390625,-0.6589153792896377
85,86,485993.0099002086,1987.807999830693,False,50,tell,kuwaambia,False,0.453515625,-0.9170192088810812,0.453515625,16.86603631488327
86,87,489747.3797001876,3401.595199946314,False,22,nini,what,True,0.4957031250000001,-0.870648650409763,0.375390625,-0.8710902005477112
87,88,495356.2747999094,inf,False,26,you,ninyi,False,0.501953125,-0.874846654031383,0.30898437499999987,-0.40539943617841157
88,89,503425.7078999654,inf,False,15,na,have,True,0.525,-0.9086557566898872,0.25898437500000004,-0.24842132357040936
89,90,520263.12350016093,2073.4224999323487,False,20,neno,word,True,0.5421875000000002,-0.9485172787254084,0.37578124999999996,14.973893039187791
90,91,523982.22240014,1682.1930999867618,False,43,time,wakati,False,0.5144531250000001,-0.9471107890940904,0.5144531250000001,-0.9471107890940904
91,92,527361.0411998816,4083.477100357413,False,53,tatu,three,True,0.4722656249999999,-0.943686214276586,0.300390625,-0.7185801441973967
92,93,534047.5475001149,1431.1004001647236,True,15,have,na,False,0.4753906250000001,-0.8933261725413548,0.25859375000000007,-0.30501598044694406
93,94,537067.0080999844,3935.033600311727,False,52,kuweka,set,True,0.496875,-0.91306360417954,0.300390625,-0.7806774128533714
94,95,542731.9106999785,1381.5246000885966,True,26,ninyi,you,True,0.5015625,-0.9211474443233444,0.3085937499999999,-0.5378605458643336
95,96,545900.9112999775,1427.1153002046049,False,20,word,neno,False,0.5605468750000002,-0.8843554252070306,0.37578124999999996,-0.4625356135020444
96,97,549510.5797001161,2424.982300028205,True,22,nini,what,True,0.4953125000000002,-0.9186642276339696,0.36953125,-0.774474047584883
97,98,553686.1149002798,1583.858700003475,False,50,tell,kuwaambia,False,0.478125,-0.9403522251089412,0.478125,-0.9403522251089411
98,99,557880.0145001151,2484.3339999206364,True,14,moja,one,True,0.5316406250000001,-0.9331350228676536,0.4878906249999999,-1.1233989150633872
99,100,562118.9683000557,2111.267500091344,False,53,three,tatu,False,0.490625,-0.9058463107632602,0.30078125,-0.7866635473938628
100,101,566481.9236001931,inf,False,43,time,wakati,False,0.5390625000000001,-0.9246291909731144,0.5390625000000001,-0.9246291909731145
101,102,573341.340099927,inf,False,52,set,kuweka,False,0.5089843749999999,-0.9002931083268436,0.30078125,-0.8398866106039822
102,103,579085.4768999852,7375.408099964261,False,20,neno,word,True,0.5773437500000003,-0.9178905648287634,0.4253906249999999,-0.634391198239271
103,104,588668.3473000303,1538.6228002607822,True,19,moto,hot,True,0.2503906250000001,-0.9391595730378566,0.23750000000000002,-0.9900256240894425
